id_espacial,anio,tipo,id,calle1,calle2,lon,lat
-99.15026_19.49435,2023,radar fijo,RVEF008,Eje 1 Nte. José Antonio Alzáte Y ,Naranjo,-99.1502647,19.4943507
-99.15043_19.49447,2023,radar fijo,034-SSC-GAM-EV-119.14,Norte 31-A,Norte 23-A,-99.1504302,19.4944705
-99.15043_19.49447,2024,radar fijo,034-SSC-GAM-EV-119.14,Norte 31-A,Norte 23-A,-99.1504302,19.4944705
-99.15173_19.50841,2019,radar fijo,VVEF003,Anillo Periférico Canal de Garay,y Lebrija,-99.151726,19.5084073
-99.15173_19.50841,2020,radar fijo,VVEF003,Anillo Periférico Canal de Garay,y Lebrija,-99.151726,19.5084073
-99.15173_19.50841,2021,radar fijo,VVEF003,Anillo Periférico Canal de Garay,y Lebrija,-99.151726,19.5084073
-99.15173_19.50841,2022,radar fijo,VVEF003,Circuito Bicentenario Instituto Técnico Industrial Y ,Calle Eligio Ancona,-99.151726,19.5084073
-99.1517_19.50792,2023,radar fijo,029-SSC-GAM-FC-124.230,Margarita Maza De Juárez,Av. Miguel Othon De Mendizabal Ote.,-99.1517019,19.5079152
-99.1517_19.50792,2024,radar fijo,029-SSC-GAM-FC-124.230,Margarita Maza De Jaurez,Av. Miguel Othon De Mendizabal Ote,-99.1517019,19.5079152
-99.15243_19.34343,2020,radar móvil,RVEM009,Miguel Angel De Quevedo Y,Calle Inglaterra Direccion Oriente,-99.15243,19.34343
-99.15243_19.34343,2021,radar móvil,RVEM012,Miguel Angel De Quevedo Y,Calle Inglaterra Direccion Oriente,-99.15243,19.34343
-99.15243_19.34343,2022,radar móvil,RVEM012,Miguel Angel De Quevedo Y,Calle Inglaterra Direccion Oriente,-99.15243,19.34343
-99.15243_19.34343,2023,radar móvil,NA,Miguel Angel De Quevedo Y,Calle Inglaterra Direccion Oriente,-99.15243,19.34343
-99.15318_19.44591,2024,radar fijo,047-SSC-CUH-FC-119.118,Eje 1 Norte Mosqueta,Carlos J. Meneses,-99.153179,19.445911
-99.15362_19.44648,2024,radar fijo,043-SSC-CUH-FC-119.86,Av. Insurgentes Norte,Dr. Mariano Azuela,-99.15362,19.44648
-99.15412_19.49525,2019,radar móvil,NA,Entre Eje Central y ,Calle Chosica,-99.1541153,19.49524818
-99.15418_19.49519,2019,radar móvil,RVEM006,Entre Eje 5 Norte y,Eje 4 Norte,-99.15418114,19.49518622
-99.15563_19.42533,2019,radar fijo,RVEF017,Eje 5 Av. Montevideo,y Nte. 31-A,-99.1556279,19.4253317
