folio,fecha_creacion,colonia_fuente,alcaldia_fuente,id_colonia,colonia,id_alcaldia,alcaldia
C5/20220516/01133,2022-05-16,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220516/04423,2022-05-16,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220516/04423,2022-05-16,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220529/07946,2022-05-29,Barrio La Purisima Ticoman,Gustavo A. Madero,05-082,INFONAVIT (U HAB),5,GUSTAVO A. MADERO
C5/20220529/07946,2022-05-29,Barrio La Purisima Ticoman,Gustavo A. Madero,05-111,LA PURISIMA TICOMAN (BARR),5,GUSTAVO A. MADERO
C5/20220601/01192,2022-06-01,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220601/01192,2022-06-01,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220601/02365,2022-06-01,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220601/02365,2022-06-01,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220605/06523,2022-06-05,Barrio San Miguel,Iztapalapa,07-081,GAVILAN (U HAB),7,IZTAPALAPA
C5/20220605/06523,2022-06-05,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220613/00503,2022-06-13,Barrio San Miguel,Iztapalapa,07-163,PRIVADA GAVILAN (U HAB),7,IZTAPALAPA
C5/20220613/00503,2022-06-13,Barrio San Miguel,Iztapalapa,07-196,SAN MIGUEL (BARR),7,IZTAPALAPA
C5/20220613/01141,2022-06-13,Jardin Balbuena,Venustiano Carranza,17-034,KENNEDY (U HAB),17,VENUSTIANO CARRANZA
C5/20220613/01141,2022-06-13,Jardin Balbuena,Venustiano Carranza,17-077,JARDIN BALBUENA II,17,VENUSTIANO CARRANZA
