anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_anterior,anio_actual,distancia_anterior_m,id_anterior,ids_anterior,tipos_anterior
2022,2022_494838_2140914,494837.63520902366,2140914.235566915,2,JFCF009 | JFCF016,radar fijo,Eje 6 Sur Av. Luis Méndez Y,Carlos L. Gracidas,2021,2022,0,2021_494838_2140914,JFCF009 | JFCF016,radar fijo
2022,2022_495549_2143864,495548.6729013247,2143863.883962151,1,VVEF035,radar fijo,Eje 1 Nte. Mosqueta Y ,Soto,2021,2022,0,2021_495549_2143864,VVEF035,radar fijo
2022,2022_498388_2139792,498387.6329406231,2139791.6713630906,1,JFCF003,radar fijo,Eje 1 Oriente Canal De Miramontes Y Eje 9 Sur Taxqueña Y,Cerro De Teponaxtle,2021,2022,0,2021_498388_2139792,JFCF003,radar fijo
2023,2023_477584_2149415,477584.36504025554,2149414.9793407316,1,028-SSC-MIH-FC-124.222,radar fijo,Periférico Boulevard Manuel Ávila Camacho,Juan Racine,2022,2023,4.457356055752879,2022_477587_2149411,JFCF023,radar fijo
2023,2023_478706_2138811,478706.3346307974,2138811.0095976684,1,JVEF011,radar fijo,Aun/Calle 16 Y,Av. San Antonio,2022,2023,0,2022_478706_2138811,JVEF011,radar fijo
2023,2023_478765_2145797,478765.0149026487,2145796.509127491,1,VVEF010 ,radar fijo,Avenida Constituyentes Y,Camino De Los Toros,2022,2023,1904.676641169968,2022_480661_2145978,BCFC002 | BFCF001,radar fijo
2023,2023_478876_2139592,478875.7153646013,2139591.7429707726,1,037-SSC-AOB-EV-119.38,radar fijo,Barranca Pilares,Rincón Atlamaya,2022,2023,38.24811446549751,2022_478913_2139601,JVEF012 | RVEF044,radar fijo
2023,2023_478888_2139578,478888.02925513085,2139577.5983030945,1,039-SSC-AOB-EV-119.54,radar fijo,Hermenegildo Galeana,León Felipe,2022,2023,34.104462496436724,2022_478913_2139601,JVEF012 | RVEF044,radar fijo
2023,2023_478913_2139601,478912.8221599009,2139601.0168050798,1,JVEF012,radar fijo,Aun/Av. Río Becerra Y,11 De Abril,2022,2023,0,2022_478913_2139601,JVEF012 | RVEF044,radar fijo
2023,2023_479280_2149332,479279.6852975932,2149331.880051976,1,,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniente,2022,2023,0,2022_479280_2149332,,radar móvil
