mes,tratado,n_colonias,media_incidentes,mediana_incidentes,sd_incidentes,total_incidentes,grupo
2020-12-01,0,1722,7.0423925667828104,3,10.240056055516446,12127,Sin infraestructura
2020-12-01,1,92,22.402173913043477,18,19.007262800787835,2061,Con infraestructura
2021-01-01,0,1722,6.150987224157956,3,8.777604198021745,10592,Sin infraestructura
2021-01-01,1,92,20.684782608695652,18.5,15.563361700633612,1903,Con infraestructura
2021-02-01,0,1722,6.292102206736353,2,9.503847124333538,10835,Sin infraestructura
2021-02-01,1,92,22.01086956521739,19,16.706578664230403,2025,Con infraestructura
2021-03-01,0,1722,7.610336817653891,3,10.721760633294137,13105,Sin infraestructura
2021-03-01,1,92,27.130434782608695,21.5,22.41330913057046,2496,Con infraestructura
2021-04-01,0,1722,7.234030197444832,3,10.486556121317854,12457,Sin infraestructura
2021-04-01,1,92,24.82608695652174,20,19.6880109084391,2284,Con infraestructura
2021-05-01,0,1722,8.414634146341463,4,11.932357076115782,14490,Sin infraestructura
2021-05-01,1,92,27.597826086956523,20,22.51498147515482,2539,Con infraestructura
2021-06-01,0,1722,8.038908246225319,3,12.317851096469994,13843,Sin infraestructura
2021-06-01,1,92,29.119565217391305,24,23.62799717196397,2679,Con infraestructura
2021-07-01,0,1722,8.184668989547038,4,11.76388062786615,14094,Sin infraestructura
2021-07-01,1,92,26.347826086956523,21,21.041787196171867,2424,Con infraestructura
2021-08-01,0,1722,7.951219512195122,4,11.603809870427064,13692,Sin infraestructura
2021-08-01,1,92,27.065217391304348,21,20.767051433146374,2490,Con infraestructura
2021-09-01,0,1722,8.439024390243903,4,12.28383332052623,14532,Sin infraestructura
2021-09-01,1,92,30.032608695652176,22.5,23.99104736270353,2763,Con infraestructura
2021-10-01,0,1722,9.41869918699187,4,13.714129543993513,16219,Sin infraestructura
2021-10-01,1,92,32.94565217391305,26.5,25.989585458741892,3031,Con infraestructura
2021-11-01,0,1722,9.150987224157955,4,13.153338355360509,15758,Sin infraestructura
2021-11-01,1,92,30.967391304347824,23,24.049148890359774,2849,Con infraestructura
2021-12-01,0,1722,9.760743321718932,4,13.788125027616788,16808,Sin infraestructura
2021-12-01,1,92,36.27173913043478,28.5,27.21954019396286,3337,Con infraestructura
2022-01-01,0,1722,7.218350754936121,3,10.285350602811016,12430,Sin infraestructura
2022-01-01,1,92,24.565217391304348,18,19.153116033647777,2260,Con infraestructura
2022-02-01,0,1722,7.807781649245064,3,11.007191556663239,13445,Sin infraestructura
2022-02-01,1,92,28.804347826086957,20,22.768900676834043,2650,Con infraestructura
2022-03-01,0,1722,9.087108013937282,4,12.739442514598041,15648,Sin infraestructura
2022-03-01,1,92,31.72826086956522,24,23.707514115014607,2919,Con infraestructura
2022-04-01,0,1722,8.980836236933797,4,12.936540404097835,15465,Sin infraestructura
2022-04-01,1,92,29.402173913043477,21.5,24.665703280042358,2705,Con infraestructura
2022-05-01,0,1722,9.857142857142858,5,13.860114147208643,16974,Sin infraestructura
2022-05-01,1,92,34.98913043478261,25.5,28.83088033296952,3219,Con infraestructura
2022-06-01,0,1722,9.177700348432056,4,12.737359976048037,15804,Sin infraestructura
2022-06-01,1,92,33.58695652173913,27.5,27.634248608021842,3090,Con infraestructura
2022-07-01,0,1722,9.1869918699187,4,13.339743030233342,15820,Sin infraestructura
2022-07-01,1,92,35.21739130434783,25.5,27.666310725571627,3240,Con infraestructura
2022-08-01,0,1722,9.396051103368176,4,13.205432059529564,16180,Sin infraestructura
2022-08-01,1,92,34.27173913043478,26.5,26.898712441455675,3153,Con infraestructura
2022-09-01,0,1722,10.380952380952381,4,15.016939790547205,17876,Sin infraestructura
2022-09-01,1,92,36.92391304347826,28,27.23775405679201,3397,Con infraestructura
2022-10-01,0,1722,11.436701509872242,5,16.396375792921244,19694,Sin infraestructura
2022-10-01,1,92,42.130434782608695,30,33.64985096755344,3876,Con infraestructura
2022-11-01,0,1722,10.367015098722415,4,14.702512887819767,17852,Sin infraestructura
2022-11-01,1,92,35.141304347826086,27,26.4041211908747,3233,Con infraestructura
2022-12-01,0,1722,10.715447154471544,5,14.762512181035792,18452,Sin infraestructura
2022-12-01,1,92,39.47826086956522,30,29.532428910974268,3632,Con infraestructura
2023-01-01,0,1722,8.156794425087108,4,11.363510965687578,14046,Sin infraestructura
2023-01-01,1,92,30.141304347826086,22,23.831635416639564,2773,Con infraestructura
2023-02-01,0,1722,8.883275261324043,4,12.147972485917517,15297,Sin infraestructura
2023-02-01,1,92,30.891304347826086,23,26.280589302832553,2842,Con infraestructura
2023-03-01,0,1722,9.339721254355402,4,13.380244725168708,16083,Sin infraestructura
2023-03-01,1,92,33.80434782608695,25,26.355656702676484,3110,Con infraestructura
2023-04-01,0,1722,8.289198606271777,4,11.767552545353531,14274,Sin infraestructura
2023-04-01,1,92,30.130434782608695,23,23.78669745116086,2772,Con infraestructura
2023-05-01,0,1722,9.465737514518002,4,12.858287142366025,16300,Sin infraestructura
2023-05-01,1,92,33.66304347826087,25.5,26.687560247316217,3097,Con infraestructura
2023-06-01,0,1722,8.889082462253194,4,12.25887279019426,15307,Sin infraestructura
2023-06-01,1,92,31.184782608695652,23,24.78253964751783,2869,Con infraestructura
2023-07-01,0,1722,9.10917537746806,4,12.955416219867407,15686,Sin infraestructura
2023-07-01,1,92,32.72826086956522,24,26.231892032019932,3011,Con infraestructura
2023-08-01,0,1722,9.44308943089431,4,13.576368939726905,16261,Sin infraestructura
2023-08-01,1,92,33.58695652173913,27,25.28959833690612,3090,Con infraestructura
2023-09-01,0,1722,10.40650406504065,5,14.482421313749015,17920,Sin infraestructura
2023-09-01,1,92,36.54347826086956,26.5,32.23281143219899,3362,Con infraestructura
2023-10-01,0,1722,10.465156794425088,5,14.69275514306862,18021,Sin infraestructura
2023-10-01,1,92,38.01086956521739,28.5,28.008042237985464,3497,Con infraestructura
2023-11-01,0,1722,9.807781649245063,4,13.781084471382487,16889,Sin infraestructura
2023-11-01,1,92,35.93478260869565,28,31.04155468939401,3306,Con infraestructura
2023-12-01,0,1722,10.432636469221835,5,14.467111629556571,17965,Sin infraestructura
2023-12-01,1,92,39.619565217391305,27.5,32.357495655313194,3645,Con infraestructura
2024-01-01,0,1722,8.440185830429733,4,11.65991905881785,14534,Sin infraestructura
2024-01-01,1,92,28.543478260869566,20,25.230982629934367,2626,Con infraestructura
2024-02-01,0,1722,9.055168408826946,4,12.56420487117411,15593,Sin infraestructura
2024-02-01,1,92,31.554347826086957,24,25.61694328147835,2903,Con infraestructura
