term,estimate,std.error,statistic,p.value,conf.low,conf.high,tiempo_evento,escenario,evento,buffer_m,outcome
fixest::tiempo_evento::-12:tratada,6.930706691630663,1.1201198334007731,6.187468951949976,7.539781369632292e-10,4.733845544935921,9.127567838325405,-12,2021-02-01 | n_incidentes | 250m,2021-02,250,n_incidentes
fixest::tiempo_evento::5:tratada,-0.03408643271957683,0.05830544651976906,-0.5846183290615822,0.5588771214037934,-0.14843934950623927,0.0802664840670856,5,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::6:tratada,0.08717952926715707,0.05368694767008113,1.6238496143028227,0.10458174354095245,-0.01811524893791351,0.19247430747222766,6,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::7:tratada,0.03151774283768895,0.054799011779126945,0.5751516644994339,0.5652600975402495,-0.0759580970368096,0.13899358271218748,7,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::8:tratada,0.0866707152961068,0.05220913818642189,1.6600679173564177,0.09707372186187696,-0.015725674593660727,0.18906710518587433,8,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::9:tratada,0.07562863145669114,0.058695555358406364,1.2884899204869629,0.19773987692225828,-0.03948939538786797,0.19074665830125026,9,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::10:tratada,0.1389390408057727,0.06864671955310211,2.023972036978337,0.043119431192834255,0.00430406110329104,0.2735740205082544,10,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::11:tratada,0.05436923481156977,0.05655198338261489,0.9614027936690168,0.336477881604465,-0.05654466150307749,0.16528313112621704,11,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::12:tratada,0.08643682500296393,0.05918706525823195,1.4604005896531926,0.14435327366084771,-0.029645187095623193,0.20251883710155105,12,2021-02-01 | n_victimas | 500m,2021-02,500,n_victimas
fixest::tiempo_evento::-12:tratada,4.3166251245970235,0.5970733568884726,7.229639498724653,7.107880316736954e-13,3.145601078453227,5.48764917074082,-12,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::-11:tratada,1.9080702337142834,0.45005834523828164,4.239606384154621,2.3517944530852625e-5,1.0253828078538827,2.790757659574684,-11,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::-10:tratada,-2.864819430625708,0.37440750480539764,-7.651607924137977,3.202799631273136e-14,-3.599134881358031,-2.1305039798933856,-10,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::-9:tratada,-2.9753794173322317,0.3858542189304818,-7.71114911113178,2.0417721891125037e-14,-3.73214500310267,-2.218613831561793,-9,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::-8:tratada,-2.2883433034516942,0.3531936854108837,-6.479004008210331,1.1862825761038935e-10,-2.981052656147779,-1.5956339507556097,-8,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::-7:tratada,-0.7256092832900991,0.3642586894127411,-1.9920164003772387,0.046519022920301425,-1.4400201331428768,-0.011198433437321409,-7,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::-6:tratada,-0.4543508364085438,0.38269162598597983,-1.1872505316465671,0.2352843448355336,-1.2049137130085774,0.29621204019148994,-6,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::-5:tratada,-0.25178353830288547,0.396602058601947,-0.634851818950315,0.5256051688609492,-1.0296285752901282,0.5260614986843571,-5,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::-4:tratada,1.4465520106058554,0.4026094376363327,3.5929411369449578,3.356915676514682e-4,0.6569248613833153,2.2361791598283953,-4,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
fixest::tiempo_evento::-3:tratada,0.8283759831327563,0.4014172826690963,2.063628096988585,0.03919502743695165,0.04108697564314967,1.615664990622363,-3,2021-02-01 | n_incidentes | 1000m,2021-02,1000,n_incidentes
