anio,id_ubicacion_anual,x_utm,y_utm,n_registros,ids,tipos,calle1,calle2,anio_origen,anio_destino,distancia_siguiente_m,id_destino,x_destino,y_destino,ids_destino,tipos_destino,calle1_destino,calle2_destino,rango_distancia
2022,2022_485231_2149068,485231.188506412,2149067.9707175293,1,RVEF007,radar fijo,Eje 3 Sur José Peón Contreras Y,José María Bustillos,2022,2023,899.7719734078242,2023_485399_2149952,485398.883502703,2149951.977500506,BFCF019,radar fijo,Eje 1 Poniente Guerrero Y ,Eje 2 Norte Manuel González,>100 m
2022,2022_486112_2148522,486111.98636422044,2148521.663106274,1,JFCF021,radar fijo,Av. Cuitláhuac Y ,Av. Jardín,2022,2023,564.6648411654305,2023_486046_2147961,486046.46831689065,2147960.8121739198,BFCF030 | BFCF031,radar fijo,Eje 9 Sur Miguel Ángel De Quevedo Y,Av. Universidad,>100 m
2022,2022_480522_2150855,480521.5908068836,2150854.5661406014,1,RVEF002,radar fijo,Fray Servando Teresa De Mier Y ,Cucurpe,2022,2023,541.9196633106467,2023_480852_2150425,480852.4829398144,2150425.3956408612,JFCF035,radar fijo,Eje 5 Sur Y ,Anillo Periférico Oriente,>100 m
2022,2022_486402_2143035,486402.21949799213,2143034.936048268,1,JFCF026,radar fijo,Av. Aquiles Serdán Y,Av. Tezozomoc,2022,2023,476.832895948236,2023_486356_2142560,486355.65886277374,2142560.381817535,JFCF006,radar fijo,Eje 6 Sur Playa Pie De La Cuesta Y ,Eje 1 Ote. Andrés Molina Enríquez,>100 m
2022,2022_479002_2140037,479001.96982659993,2140036.663896595,3,RVEF041 | RVEF042 | RVEF043,radar fijo,Periférico 2P Ajusco Entre Etna Y ,"Calz. De Las Águilas, Sentido Norte-Sur",2022,2023,444.6748191922655,2023_478913_2139601,478912.8221599009,2139601.0168050798,JVEF012,radar fijo,Aun/Av. Río Becerra Y,11 De Abril,>100 m
2022,2022_481586_2147707,481586.4658871726,2147706.6487749,1,VVEF032,radar fijo,Viaducto Río De La Piedad Y,Primero De Mayo,2022,2023,305.0128411636359,2023_481774_2147466,481774.2660470466,2147466.307490003,003-SSC-CUH-FC-124.22,radar fijo,Burdeos,Leija,>100 m
2022,2022_484814_2145882,484813.62861509604,2145881.747092912,1,RVEF021,radar fijo,Av. Insurgentes Nte. Y ,Pte. 112,2022,2023,125.82568451797175,2023_484813_2145756,484812.7881259865,2145755.9242155706,009-SSC-CUH-EV-124.70,radar fijo,José Peón Contreras,Toribio Medina,>100 m
2023,2023_491866_2146060,491865.6707786153,2146060.003478987,1,BFCF009,radar fijo,Calz. Gral. Ignacio Zaragoza Y,Viaducto,2023,2024,2240.148985736641,2024_489737_2145363,489736.81670430576,2145362.688766255,005-SSC-IZT-FC-124.38,radar fijo,Avena,Añil,>100 m
2023,2023_487430_2145712,487430.19436023873,2145712.068898416,1,VVEF011,radar fijo,Viaducto Río De La Piedad Y ,1Ro. De Mayo,2023,2024,1773.8738568568135,2024_487605_2147477,487605.4703915539,2147477.262024645,030-SSC-VCA-EV-124.238,radar fijo, Congreso De La Union,Sur 103,>100 m
2023,2023_479287_2149337,479287.0396629301,2149337.404308697,1,,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniete,2023,2024,1704.4408925789114,2024_477584_2149415,477584.36504025554,2149414.9793407316,028-SSC-MIH-FC-124.222,radar fijo,Periferico Blvrd Manuel Avila Camacho,Juan Racine,>100 m
2023,2023_479280_2149332,479279.6852975932,2149331.880051976,1,,radar móvil,Av. Ejercito Nacional Mexicano Y ,Anatole France Direccion Poniente,2023,2024,1697.3556688953165,2024_477584_2149415,477584.36504025554,2149414.9793407316,028-SSC-MIH-FC-124.222,radar fijo,Periferico Blvrd Manuel Avila Camacho,Juan Racine,>100 m
2023,2023_483990_2138835,483989.94424220757,2138834.9857656844,1,,radar móvil,Miguel Angel De Quevedo Y,Calle Inglaterra Direccion Oriente,2023,2024,1609.98018029879,2024_485569_2138521,485569.00433039136,2138520.970767858,016-SSC-COY-FC-124.126,radar fijo,Calzada Taxqueña,Cerro San Antonio,>100 m
2023,2023_494216_2144648,494216.08878485207,2144647.791159215,1,JVEF009,radar fijo,Aun/Gral. Juan Cabral Y ,Batalla De Celaya,2023,2024,1542.556802576453,2024_495560_2143891,495560.3244097342,2143891.1458830303,008-SSC-IZP-EV-124.62,radar fijo,"Moctezuma Segunda Seccion, Venustiano Carranza",Lic. Juan C. Doria,>100 m
2023,2023_483662_2147898,483662.2313940677,2147897.9328471995,1,VVEF012 ,radar fijo,Avenida Chapultepec Y,Guaymas,2023,2024,1389.1004821830427,2024_484293_2149135,484293.4171329021,2149135.3514153054,011-SSC-CUH-FC-124.86,radar fijo,Ignacio Mariscal,Tomas Alva Edison,>100 m
2023,2023_482120_2152878,482119.53538082755,2152877.513607224,1,,radar móvil,Eje 3 Norte Av. Cuitlahuac Y  ,Calle Piñon Sentido Poniente,2023,2024,1194.2461923543917,2024_483259_2153236,483258.58781177,2153236.377825999,023-SSC-AZC-FC-124.182,radar fijo,Calle C,Calle B,>100 m
2023,2023_490958_2149247,490957.7433004438,2149246.787605837,1,JVEF008,radar fijo,Aun/Deportivo Israelita/Ing. Zapadores Y,Av. Del Conscripto,2023,2024,1155.4429286268937,2024_489818_2149435,489817.6551974365,2149434.530724739,070-SSC-VCA-EV-143.174,radar fijo,Norte 37,Pablo R. Sidar,>100 m
2023,2023_482101_2139070,482100.64114490343,2139070.2255005813,1,,radar móvil,Alfredo Robles Dominguez Sentido Poniente ,-,2023,2024,1093.0258517620412,2024_481012_2139170,481012.2019732181,2139170.253907352,050-SSC-COY-FC-119.142,radar fijo,Av. Miguel Ángel De Quevedo,Oxtopulco,>100 m
